year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,mark,model
2017,200000,140.0,Petrol,Individual,Manual,First Owner,19.0,1198,67.05,104  @ 4000 ,7,Datsun,GO
2012,252000,48.0,Petrol,Individual,Manual,First Owner,20.9,998,67.1,90  @ 3500 ,5,Maruti,Alto
2012,280000,70.0,Diesel,Individual,Manual,Second Owner,22.0,1248,74.0,190  @ 2000 ,5,Maruti,Swift
2018,509999,70.0,Petrol,Individual,Manual,Second Owner,22.0,1197,81.8,113  @ 4200 ,5,Maruti,Swift
2016,1050000,58.0,Diesel,Individual,Manual,First Owner,15.0,1997,120.0,280  @ 1800-2800 ,7,Mahindra,Scorpio
2010,200000,40.0,Other,Individual,Manual,Fourth & Above Owner,24.22,1061,57.5,"7.8 @ 4,500 @  )",5,Maruti,Wagon
2010,320000,40.0,Diesel,Individual,Manual,Second Owner,14.0,2498,112.0,260  @ 1800-2200  ,7,Mahindra,Xylo
2013,520000,110.0,Diesel,Individual,Manual,First Owner,12.0,2179,120.0,290  @ 1800-2800 ,9,Mahindra,Scorpio
2007,250000,80.0,Diesel,Individual,Manual,Second Owner,11.5,2179,138.1,320  @ 1700-2700 ,7,Tata,New
2017,725000,60.0,Diesel,Individual,Manual,First Owner,24.0,1248,88.5,200  @ 1750 ,5,Maruti,Vitara
2017,430000,25.0,Petrol,Individual,Manual,First Owner,23.8,1199,84.0,114  @ 3500 ,5,Tata,Tiago
2011,235000,100.0,Diesel,Individual,Manual,Second Owner,22.0,1248,74.0,190  @ 2000 ,5,Maruti,Swift
2012,350000,52.0,Diesel,Individual,Manual,Third Owner,19.0,1248,73.9,190  @ 2000 ,5,Maruti,Swift
2010,131000,80.0,Petrol,Individual,Manual,Third Owner,19.8,1086,68.05,99.04  @ 4500 ,5,Hyundai,i10
2016,450000,85.0,Diesel,Individual,Manual,First Owner,25.0,1498,98.6,200  @ 1750 ,5,Honda,Amaze
2016,750000,83.0,Diesel,Individual,Manual,First Owner,24.0,1248,88.5,200  @ 1750 ,5,Maruti,Vitara
2009,125000,120.0,Petrol,Individual,Manual,Fourth & Above Owner,18.0,1061,67.0,84  @ 3500 ,5,Maruti,Wagon
2014,500000,100.0,Diesel,Individual,Manual,First Owner,15.9,2523,62.1,195  @ 1400-2200 ,7,Mahindra,Bolero
2012,380000,70.0,Diesel,Individual,Manual,Third Owner,22.0,1248,74.0,190  @ 2000 ,5,Maruti,Swift
2008,128000,19.0,Petrol,Individual,Manual,First Owner,19.0,796,46.3,62  @ 3000 ,5,Maruti,Alto
2009,250000,68.6,Petrol,Individual,Manual,Third Owner,17.0,1497,118.0,146 @ 4800  ,5,Honda,City
2012,560000,40.0,Petrol,Individual,Manual,Second Owner,16.0,1497,116.3,146  @ 4800 ,5,Honda,City
2016,400000,25.0,Petrol,Individual,Manual,First Owner,23.0,998,67.04,90  @ 3500 ,5,Maruti,Celerio
2012,200000,29.5,Petrol,Individual,Manual,First Owner,20.9,998,67.1,90  @ 3500 ,5,Maruti,Alto
2016,300000,50.0,Petrol,Individual,Manual,Second Owner,22.7,796,47.3,69  @ 3500 ,5,Maruti,Alto
2016,315000,30.0,Petrol,Individual,Manual,Second Owner,25.1,799,53.3,72  @ 4386 ,5,Renault,KWID
2012,220000,100.0,Petrol,Individual,Manual,First Owner,22.7,796,47.3,69  @ 3500 ,5,Maruti,Alto
2011,130000,60.0,Petrol,Individual,Manual,Second Owner,14.4,1399,92.7,127  @ 3500 ,5,Chevrolet,Aveo
2016,595000,60.0,Diesel,Individual,Manual,Second Owner,22.5,1396,88.73,219.7  @ 1500-2750 ,5,Hyundai,i20
2017,680000,13.5,Petrol,Individual,Manual,First Owner,17.0,1497,121.36,150  @ 4500 ,5,Ford,EcoSport
2017,530000,30.0,Petrol,Individual,Manual,Second Owner,21.0,1197,83.1,115  @ 4000 ,5,Maruti,Baleno
2017,610000,14.0,Petrol,Individual,Manual,First Owner,19.0,1197,82.0,114  @ 4000 ,5,Hyundai,Xcent
2014,500000,90.0,Diesel,Individual,Manual,Second Owner,15.0,2179,147.9,320  @ 1500-3000 ,7,Tata,Aria
2018,500000,50.0,Diesel,Individual,Manual,First Owner,24.0,1047,69.0,140  @ 1800-3000 ,5,Tata,Tigor
2018,325000,10.0,Petrol,Individual,Manual,First Owner,21.0,814,55.2,74.5  @ 4000 ,5,Hyundai,EON
2018,550000,10.0,Petrol,Individual,Manual,First Owner,21.0,1197,83.1,115  @ 4000 ,5,Maruti,Baleno
2018,720000,25.0,Petrol,Individual,Manual,First Owner,20.7,1373,91.1,130  @ 4000 ,5,Maruti,Ciaz
2017,950000,20.0,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151  @ 4850 ,5,Hyundai,Verna
2013,350000,60.0,Diesel,Individual,Manual,First Owner,22.0,1248,74.0,190  @ 2000 ,5,Maruti,Swift
2018,500000,40.0,Petrol,Individual,Manual,First Owner,18.0,1197,81.86,113.75nm @ 4000 ,5,Hyundai,Grand
2012,380000,60.0,Diesel,Individual,Manual,First Owner,19.0,1248,73.9,190  @ 2000 ,5,Maruti,Swift
2015,380000,50.0,Petrol,Individual,Automatic,First Owner,16.0,1197,82.0,114  @ 4000 ,5,Hyundai,Xcent
2017,900000,20.0,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151  @ 4850 ,5,Hyundai,Verna
2017,295000,35.0,Petrol,Individual,Manual,First Owner,24.0,796,47.3,69  @ 3500 ,5,Maruti,Alto
2016,640000,40.0,Diesel,Individual,Manual,First Owner,28.0,1248,88.5,200  @ 1750 ,5,Maruti,Ciaz
2018,790000,60.0,Diesel,Individual,Manual,First Owner,21.0,1497,108.5,260  @ 1500-2750 ,5,Tata,Nexon
2015,625000,20.0,Petrol,Individual,Manual,First Owner,17.0,1591,121.4,154.9  @ 4200 ,5,Hyundai,Verna
2017,604000,30.0,Petrol,Individual,Manual,Second Owner,17.0,1497,121.36,150  @ 4500 ,5,Ford,EcoSport
2019,950000,17.0,Diesel,Individual,Manual,First Owner,20.0,1497,115.0,300  @ 1500-2500 ,5,Mahindra,XUV300
2017,400000,50.0,Petrol,Individual,Manual,First Owner,20.5,998,67.04,90  @ 3500 ,5,Maruti,Wagon
2018,700000,42.0,Petrol,Individual,Automatic,First Owner,18.0,1368,98.63,132.3  @ 4000 ,5,Hyundai,i20
2011,700000,120.0,Diesel,Individual,Manual,Second Owner,12.0,2494,102.0,20.4 @ 1400-3400 @  ),8,Toyota,Innova
2012,260000,110.0,Diesel,Individual,Manual,First Owner,21.0,1461,65.0,160  @ 2000 ,5,Mahindra,Verito
2012,200000,90.0,Diesel,Individual,Manual,First Owner,23.5,1396,70.0,140  @ 1800-3000 ,5,Tata,Indigo
2020,580000,70.0,Petrol,Individual,Manual,First Owner,23.2,1197,88.5,113nm @ 4400 ,5,Maruti,Dzire
2011,330000,66.0,Diesel,Individual,Manual,Second Owner,20.0,1598,105.0,250  @ 1500-2500 ,5,Volkswagen,Vento
2011,400000,70.0,Diesel,Individual,Manual,Third Owner,16.0,1493,110.0,24 KGM  @ 1900-2750 RPM,5,Hyundai,Verna
2018,1350000,5.0,Petrol,Individual,Automatic,First Owner,14.0,1591,121.3,151NM @ 4850 ,5,Hyundai,Creta
2014,250000,50.0,Diesel,Individual,Manual,Second Owner,21.0,1461,65.0,160  @ 2000 ,5,Mahindra,Verito
2019,725000,25.0,Petrol,Individual,Manual,First Owner,15.4,1598,103.2,153  @ 3750-3800 ,5,Skoda,Rapid
2013,300000,70.0,Diesel,Individual,Manual,First Owner,23.0,1248,74.0,190  @ 2000 ,5,Maruti,Swift
2006,120000,40.0,Petrol,Individual,Manual,Second Owner,16.0,796,37.0,59  @ 2500 ,4,Maruti,800
2016,1175000,110.0,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,330  @ 1600-2800 ,7,Mahindra,XUV500
2014,400000,45.0,Diesel,Individual,Manual,First Owner,19.0,1405,70.0,135.4  @ 2500 ,5,Tata,Indica
2005,140000,90.0,Diesel,Individual,Manual,Third Owner,16.0,1405,70.0,"13.5 @ 2,500 @  )",5,Tata,Indigo
2003,110000,83.0,Petrol,Individual,Manual,Second Owner,13.0,1299,70.0,"10.7 @ 2,500 @  )",5,Ford,Ikon
2011,550000,106.0,Diesel,Individual,Automatic,Second Owner,16.9,1968,138.1,320  @ 1750-2500 ,5,Volkswagen,Jetta
2008,150000,60.0,Petrol,Individual,Manual,Fourth & Above Owner,15.2,1150,74.9,110  @ 4400 ,5,Chevrolet,Aveo
2017,265000,40.0,Petrol,Individual,Manual,Second Owner,16.0,796,34.2,59  @ 2500 ,8,Maruti,Omni
2011,300000,138.0,Petrol,Individual,Manual,Third Owner,17.0,1197,80.0,"11.4 @ 4,000  ",5,Hyundai,i20
2015,280000,80.0,Petrol,Individual,Manual,First Owner,22.7,796,47.3,69  @ 3500 ,5,Maruti,Alto
2005,130000,50.0,Petrol,Individual,Manual,Second Owner,15.0,1341,83.0,115  @ 3200 ,5,Hyundai,Getz
2015,350000,50.0,Petrol,Individual,Manual,First Owner,18.0,1199,82.4,108.5  @ 5000 ,5,Chevrolet,Sail
2009,200000,120.0,Petrol,Individual,Manual,First Owner,18.0,1197,85.8,114  @ 4000 ,5,Maruti,Ritz
2018,550000,24.4,Petrol,Individual,Manual,First Owner,22.0,1197,81.8,113  @ 4200 ,5,Maruti,Swift
2013,400000,60.0,Diesel,Individual,Manual,Second Owner,15.9,2523,62.1,195  @ 1400-2200 ,7,Mahindra,Bolero
2010,170000,120.0,Petrol,Individual,Manual,Second Owner,18.0,1197,85.8,114  @ 4000 ,5,Maruti,Ritz
2015,600000,60.0,Diesel,Individual,Manual,Second Owner,24.0,1396,88.7,219.7  @ 1750-2750 ,5,Hyundai,Verna
2011,130000,100.0,Petrol,Individual,Manual,Second Owner,19.0,796,46.3,62  @ 3000 ,5,Maruti,Alto
2011,100000,120.0,Petrol,Individual,Manual,Second Owner,16.0,796,37.0,59  @ 2500 ,4,Maruti,800
2007,35000,10.0,Petrol,Individual,Manual,First Owner,16.0,796,37.0,59  @ 2500 ,4,Maruti,800
2010,200000,120.0,Petrol,Individual,Manual,Third Owner,18.0,1197,80.0,"11.4 @ 4,000  ",5,Hyundai,i20
2015,509999,90.0,Diesel,Individual,Manual,First Owner,24.0,1120,71.01,180.4  @ 1750-2500 ,5,Hyundai,Xcent
2014,409999,188.0,Diesel,Individual,Manual,Second Owner,19.0,1461,108.45,248  @ 2250 ,5,Renault,Duster
2011,130000,67.84,Petrol,Individual,Manual,First Owner,18.0,995,62.0,90.3  @ 4200 ,5,Chevrolet,Spark
2013,95000,30.0,Petrol,Individual,Manual,First Owner,25.0,624,37.48,51  @ 4000+/-500 ,4,Tata,Nano
2016,225000,35.0,Petrol,Individual,Manual,Second Owner,22.7,796,47.3,69  @ 3500 ,5,Maruti,Alto
2017,775000,100.0,Diesel,Individual,Manual,First Owner,24.0,1248,88.5,200  @ 1750 ,5,Maruti,Vitara
2017,420000,30.0,Petrol,Individual,Manual,First Owner,20.5,998,67.04,90  @ 3500 ,5,Maruti,Wagon
2016,480000,70.0,Petrol,Individual,Manual,First Owner,18.0,1197,82.0,114  @ 4000 ,5,Hyundai,Grand
2010,260000,380.0,Diesel,Individual,Manual,Second Owner,13.0,2523,63.0,180  @ 1440-1500 ,7,Mahindra,Bolero
2018,600000,15.0,Petrol,Individual,Manual,First Owner,16.0,1199,74.0,110  @ 3000-4300 ,5,Volkswagen,Polo
2010,130000,120.0,Petrol,Individual,Manual,Third Owner,19.0,796,35.0,6.1 @ 3000 ,8,Maruti,Omni
2007,195000,112.88,Diesel,Dealer,Manual,First Owner,25.0,1248,74.0,190  @ 2000 ,5,Maruti,Swift
2013,210000,135.0,Diesel,Dealer,Manual,Second Owner,19.0,1405,70.0,135.4  @ 2500 ,5,Tata,Indica
2006,130000,80.0,Petrol,Individual,Manual,Third Owner,18.0,998,67.1,90  @ 3500 ,5,Maruti,Wagon
2012,141000,128.0,Petrol,Individual,Manual,Third Owner,18.0,1199,79.4,108  @ 4400 ,5,Chevrolet,Beat
2011,280000,120.0,Diesel,Individual,Manual,First Owner,13.0,2523,63.0,180  @ 1440-1500 ,7,Mahindra,Bolero
2010,350000,30.0,Petrol,Individual,Automatic,First Owner,12.0,1586,103.2,145  @ 4100 ,5,Maruti,SX4
2015,550000,41.0,Petrol,Individual,Manual,First Owner,18.0,1197,81.83,114.7  @ 4000 ,5,Hyundai,i20
2006,120000,30.0,Petrol,Individual,Manual,Second Owner,19.0,796,46.3,62  @ 3000 ,5,Maruti,Alto
2015,320000,30.0,Petrol,Individual,Manual,First Owner,23.9,998,67.05,90  @ 3500 ,5,Maruti,Alto
2010,300000,22.0,Petrol,Individual,Manual,First Owner,15.0,1586,104.68,"145 @ 4,100 @  )",5,Maruti,SX4
2006,250000,70.0,Petrol,Individual,Manual,First Owner,18.0,998,67.1,90  @ 3500 ,5,Maruti,Wagon
2005,151000,200.0,Diesel,Individual,Manual,Second Owner,10.0,2179,120.0,290  @ 1800-2800 ,8,Mahindra,Scorpio
2011,300000,120.0,Diesel,Individual,Manual,First Owner,13.9,2179,138.03,320  @ 1700-2700 ,7,Tata,Safari
2019,577000,3.0,Petrol,Individual,Manual,First Owner,20.8,1197,81.8,113  @ 4200 ,5,Maruti,Ignis
2012,229999,50.0,Petrol,Individual,Manual,First Owner,20.9,998,67.1,90  @ 3500 ,5,Maruti,Alto
2013,500000,50.0,Diesel,Individual,Manual,First Owner,15.9,2523,62.1,195  @ 1400-2200 ,7,Mahindra,Bolero
2019,840000,1.5,Petrol,Individual,Automatic,First Owner,18.0,1199,88.7,110  @ 4800 ,5,Honda,Jazz
2017,900000,74.0,Diesel,Individual,Manual,First Owner,22.2,1498,108.6,250  @ 1500-3000 ,5,Volkswagen,Vento
2017,650000,25.0,Petrol,Individual,Manual,First Owner,18.0,1199,88.7,110  @ 4800 ,5,Honda,Jazz
2016,650000,61.915,Diesel,Individual,Manual,First Owner,27.0,1498,98.6,200  @ 1750 ,5,Honda,Jazz
2016,550000,70.0,Diesel,Individual,Manual,First Owner,20.1,1498,88.0,230  @ 1500-2500 ,5,Volkswagen,Polo
2007,250000,150.0,Diesel,Individual,Manual,Fourth & Above Owner,17.0,1248,75.0,190  @ 2000 ,5,Maruti,Swift
2013,350000,110.0,Diesel,Individual,Manual,Second Owner,17.2,1493,100.0,240  @ 1600-2800 ,7,Mahindra,Quanto
2014,185000,90.0,Diesel,Individual,Manual,Second Owner,25.4,936,56.3,142.5  @ 1750 ,5,Chevrolet,Beat
2016,1000000,65.0,Diesel,Individual,Manual,First Owner,12.9,2494,100.6,200  @ 1200-3600 ,8,Toyota,Innova
2019,490000,10.0,Petrol,Individual,Manual,First Owner,20.5,1197,81.8,113  @ 4200 ,5,Maruti,Wagon
2009,150000,80.0,Petrol,Individual,Manual,Second Owner,20.3,1197,78.9,111.8  @ 4000 ,5,Hyundai,i10
2013,600000,184.0,Diesel,Individual,Manual,First Owner,20.7,1248,88.76,200  @ 1750 ,7,Maruti,Ertiga
2013,270000,80.0,Other,Individual,Manual,Second Owner,45.53,998,58.33,78  @ 3500 ,5,Maruti,Wagon
2005,60000,70.0,Petrol,Individual,Manual,Second Owner,17.0,993,60.0,78  @ 4500 ,5,Maruti,Zen
2008,150000,89.0,Petrol,Individual,Manual,Second Owner,15.0,1586,104.68,"145 @ 4,100 @  )",5,Maruti,SX4
2013,525000,69.0,Diesel,Individual,Manual,Second Owner,22.0,1248,74.0,190  @ 2000 ,5,Maruti,Swift
2012,83000,90.0,Diesel,Individual,Manual,Second Owner,25.0,1396,69.0,140  @ 1800-3000 ,5,Tata,Indica
2012,350000,35.0,Petrol,Individual,Manual,First Owner,17.0,1197,80.0,"11.4 @ 4,000  ",5,Hyundai,i20
2011,300000,45.0,Petrol,Individual,Manual,First Owner,17.0,1197,80.0,"11.4 @ 4,000  ",5,Hyundai,i20
2011,250000,30.0,Diesel,Individual,Manual,First Owner,20.0,1248,91.2,209  @ 2000 ,5,Fiat,Linea
2018,700000,6.2,Petrol,Individual,Manual,First Owner,19.3,1462,103.0,138  @ 4400 ,7,Maruti,Ertiga
2020,250000,120.0,Petrol,Individual,Manual,Second Owner,21.6,998,67.0,90  @ 3500 ,5,Maruti,Celerio
2016,350000,70.0,Petrol,Individual,Manual,First Owner,20.5,998,67.04,90  @ 3500 ,5,Maruti,Wagon
1998,80000,70.0,Petrol,Individual,Manual,First Owner,14.0,796,35.0,6.1 @ 3000 ,5,Maruti,Omni
2017,850000,110.0,Diesel,Individual,Manual,First Owner,15.0,2523,75.0,200  @ 1400-2200 ,7,Mahindra,Scorpio
2007,90000,93.0,Petrol,Individual,Manual,Third Owner,18.0,995,62.0,90.3  @ 4200 ,5,Chevrolet,Spark
2014,600000,110.0,Diesel,Individual,Manual,First Owner,13.5,2499,72.4,171  @ 1800 ,10,Chevrolet,Tavera
2007,135000,57.0,Petrol,Individual,Manual,First Owner,19.0,796,46.3,62  @ 3000 ,5,Maruti,Alto
2005,150000,120.0,Petrol,Individual,Manual,First Owner,13.0,1495,94.0,"12.5 @ 3,500 @  )",5,Hyundai,Accent
2012,246000,35.0,Diesel,Individual,Manual,Second Owner,23.0,1396,69.0,140  @ 1800-3000 ,5,Tata,Indigo
2009,240000,120.0,Petrol,Individual,Manual,First Owner,17.0,1298,85.8,114  @ 4000 ,5,Maruti,Swift
2011,215000,70.0,Diesel,Individual,Manual,First Owner,23.0,1396,69.0,140  @ 1800-3000 ,5,Tata,Indigo
2013,310000,100.0,Diesel,Individual,Manual,First Owner,25.0,1498,98.6,200  @ 1750 ,5,Honda,Amaze
2008,220000,35.0,Petrol,Individual,Manual,First Owner,20.3,1197,78.9,111.7  @ 4000 ,5,Hyundai,i10
2008,195000,90.0,Diesel,Individual,Manual,Third Owner,17.0,1248,75.0,190  @ 2000 ,5,Maruti,Swift
2015,650000,50.0,Petrol,Individual,Manual,First Owner,17.1,1197,81.86,114.73  @ 4000 ,5,Hyundai,i20
2011,350000,98.0,Petrol,Individual,Manual,First Owner,18.0,1197,80.0,"11.4 @ 4,000  ",5,Hyundai,i20
2013,360000,30.0,Petrol,Individual,Manual,First Owner,18.0,1197,82.85,113.7  @ 4000 ,5,Hyundai,i20
2013,550000,50.0,Petrol,Individual,Manual,Second Owner,16.0,1797,147.5,177.5  @ 4700 ,5,Hyundai,Elantra
2016,490000,26.0,Petrol,Individual,Manual,First Owner,18.0,1197,82.0,114  @ 4000 ,5,Hyundai,Grand
2011,195000,46.0,Petrol,Individual,Manual,Second Owner,19.0,796,46.3,62  @ 3000 ,5,Maruti,Alto
2019,459999,10.0,Petrol,Individual,Manual,First Owner,23.8,1199,84.0,114  @ 3500 ,5,Tata,Tiago
2015,275000,16.7,Petrol,Individual,Manual,First Owner,22.7,796,47.3,69  @ 3500 ,5,Maruti,Alto
2018,680000,70.0,Diesel,Individual,Manual,First Owner,28.0,1248,74.02,190  @ 2000 ,5,Maruti,Swift
2015,600000,7.967,Petrol,Individual,Manual,First Owner,20.8,1197,83.14,115  @ 4000 ,5,Maruti,Swift
2018,720000,20.0,Petrol,Individual,Manual,First Owner,22.0,1197,81.8,113  @ 4200 ,5,Maruti,Swift
2016,356000,9.656,Petrol,Individual,Manual,First Owner,25.1,799,53.3,72  @ 4386 ,5,Renault,KWID
2011,225000,50.0,Petrol,Individual,Manual,First Owner,19.8,1086,68.05,99.04  @ 4500 ,5,Hyundai,i10
2019,725000,17.0,Diesel,Individual,Manual,First Owner,24.0,1498,98.63,215  @ 1750-3000 ,5,Ford,Freestyle
2015,300000,10.0,Petrol,Individual,Manual,First Owner,25.1,799,53.3,72  @ 4386 ,5,Renault,KWID
2013,400000,43.0,Petrol,Individual,Manual,Second Owner,18.0,1197,82.85,113.7  @ 4000 ,5,Hyundai,i20
2013,550000,50.0,Diesel,Individual,Manual,First Owner,23.0,1396,88.7,219.9  @ 1750-2750 ,5,Hyundai,Verna
2006,120000,90.0,Petrol,Individual,Manual,Second Owner,18.0,998,67.0,90  @ 3500 ,5,Maruti,Wagon
2012,409999,100.0,Diesel,Individual,Manual,Second Owner,14.0,2498,112.0,260  @ 1800-2200  ,8,Mahindra,Xylo
2012,450000,120.0,Diesel,Individual,Manual,First Owner,15.9,2523,62.1,195  @ 1400-2200 ,7,Mahindra,Bolero
2019,610000,5.0,Petrol,Individual,Manual,First Owner,21.2,1197,81.8,113  @ 4200 ,5,Maruti,Swift
2016,515000,68.609,Diesel,Dealer,Manual,First Owner,22.0,1498,89.84,204  @ 2000-2750 ,5,Ford,Ecosport
2018,925000,33.36,Diesel,Dealer,Manual,First Owner,22.7,1498,98.59,205  @ 1750-3250 ,5,Ford,EcoSport
2019,860000,14.317,Petrol,Dealer,Manual,First Owner,14.2,1498,104.55,142  @ 4000 ,5,Nissan,Kicks
2012,225000,87.237,Diesel,Dealer,Manual,Second Owner,20.0,1399,68.05,160  @ 2000 ,5,Ford,Figo
2017,500000,62.96,Diesel,Dealer,Manual,First Owner,25.8,1498,99.0,215  @ 1750-3000 ,5,Ford,Figo
2017,600000,26.634,Petrol,Dealer,Automatic,First Owner,21.2,1197,81.8,113  @ 4200 ,5,Maruti,Swift
2012,265000,67.998,Petrol,Dealer,Manual,First Owner,18.0,998,67.1,90  @ 3500 ,5,Maruti,Wagon
2018,650000,20.706,Diesel,Dealer,Manual,First Owner,23.0,1499,98.63,215  @ 1750-2500 ,5,Ford,Freestyle
2015,600000,67.303,Diesel,Dealer,Manual,First Owner,20.4,1461,83.8,200  @ 1900 ,5,Renault,Duster
2013,340000,79.139,Petrol,Dealer,Manual,First Owner,18.0,1197,85.8,114  @ 4000 ,5,Maruti,Ritz
2014,350000,84.784,Diesel,Dealer,Manual,First Owner,24.0,1120,70.0,160  @ 1500-2750 ,5,Hyundai,Grand
2012,265000,130.376,Diesel,Dealer,Manual,Second Owner,23.0,1248,73.94,190  @ 2000 ,5,Maruti,Ritz
2017,625000,72.0,Diesel,Individual,Manual,First Owner,13.9,2179,138.03,320  @ 1700-2700 ,7,Tata,Safari
2008,245000,127.0,Diesel,Individual,Manual,Second Owner,16.0,1493,110.0,"24 @ 1,900-2,750 @  )",5,Hyundai,Verna
2014,395000,120.0,Diesel,Individual,Manual,First Owner,25.0,1248,74.0,190  @ 2000 ,5,Maruti,Swift
2014,490000,100.0,Diesel,Individual,Manual,First Owner,24.0,1120,71.0,180.4  @ 1750-2500 ,5,Hyundai,Xcent
2018,955000,40.0,Diesel,Individual,Manual,First Owner,24.5,1248,88.5,200  @ 1750 ,7,Maruti,Ertiga
2013,525000,110.0,Diesel,Individual,Manual,First Owner,23.0,1248,74.0,190  @ 2000 ,5,Maruti,Swift
2017,550000,30.0,Petrol,Individual,Manual,First Owner,20.0,1199,84.0,114  @ 3500 ,5,Tata,Tigor
2014,200000,120.0,Diesel,Individual,Manual,Second Owner,19.0,1405,70.0,135.4  @ 2500 ,5,Tata,Indica
2017,500000,15.0,Petrol,Individual,Manual,First Owner,18.1,1196,86.8,112  @ 4000 ,5,Ford,Figo
2016,825000,33.5,Diesel,Individual,Manual,First Owner,23.6,1248,88.5,200  @ 1750 ,5,Maruti,SX4
2012,250000,70.0,Diesel,Individual,Manual,First Owner,17.2,1493,100.0,240  @ 1600-2800 ,7,Mahindra,Quanto
2015,600000,10.0,Petrol,Individual,Manual,First Owner,18.1,1197,78.8,104  @ 3100 ,5,Toyota,Etios
2018,1325000,22.053,Diesel,Individual,Manual,First Owner,16.3,2179,120.0,280  @ 1800-2800 ,7,Mahindra,Scorpio
2011,415000,78.432,Diesel,Individual,Manual,First Owner,16.5,1991,123.7,305  @ 2000 ,5,Chevrolet,Optra
2011,825000,125.0,Diesel,Individual,Manual,Second Owner,14.6,2199,194.3,420.7  @ 1800-2500 ,7,Hyundai,Santa
2012,310000,50.0,Petrol,Individual,Manual,Second Owner,19.0,1198,86.8,109  @ 4500 ,5,Honda,Brio
2017,390000,20.0,Petrol,Individual,Manual,First Owner,23.8,1199,84.0,114  @ 3500 ,5,Tata,Tiago
2016,700000,30.0,Petrol,Individual,Manual,First Owner,15.2,1591,121.3,151  @ 4850 ,5,Hyundai,Creta
2013,1050000,7.2,Diesel,Individual,Manual,First Owner,12.9,2494,100.6,200  @ 1200-3600 ,8,Toyota,Innova
2014,200000,60.0,Petrol,Individual,Manual,Second Owner,21.0,814,55.2,74.5  @ 4000 ,5,Hyundai,EON
2013,245000,25.0,Petrol,Individual,Manual,First Owner,18.0,1199,84.8,113  @ 5000 ,5,Chevrolet,Sail
2005,50000,90.0,Petrol,Individual,Manual,Second Owner,15.0,1590,94.0,130  @ 3000 ,5,Maruti,Baleno
2012,700000,50.0,Diesel,Individual,Automatic,Second Owner,12.1,2231,184.0,424  @ 2000 ,7,Chevrolet,Captiva
2019,660000,35.0,Diesel,Individual,Manual,First Owner,22.9,1248,74.0,190  @ 1750-3000 ,5,Tata,Bolt
2015,630000,117.5,Petrol,Individual,Manual,Second Owner,17.0,1497,117.3,145  @ 4600 ,5,Honda,City
2012,950000,78.5,Diesel,Individual,Manual,First Owner,15.0,2179,140.0,330  @ 1600-2800 ,7,Mahindra,XUV500
2018,740000,8.0,Petrol,Individual,Manual,First Owner,18.0,1197,81.83,114.7  @ 4000 ,5,Hyundai,i20
2017,570000,25.0,Petrol,Individual,Manual,First Owner,18.1,1196,86.8,112  @ 4000 ,5,Ford,Figo
2012,450000,60.0,Diesel,Individual,Manual,Third Owner,22.3,1582,126.32,259.8  @ 1900-2750 ,5,Hyundai,Verna
2019,390000,10.0,Petrol,Individual,Manual,First Owner,22.0,999,67.0,91  @ 4250 ,5,Datsun,RediGO
2009,180000,70.0,Petrol,Individual,Manual,Second Owner,14.0,1597,92.0,130 @ 2500 @  ),5,Ford,Ikon
2006,270000,70.0,Petrol,Individual,Manual,Second Owner,17.0,1497,78.0,"12.7 @ 2,700 @  )",5,Honda,City
1997,60000,25.0,Petrol,Individual,Manual,Third Owner,16.0,796,37.0,59  @ 2500 ,4,Maruti,800
2006,170000,90.0,Petrol,Individual,Manual,Third Owner,13.0,1599,103.2,"14.9 @ 3,000 @  )",5,Hyundai,Verna
2015,978999,90.0,Diesel,Individual,Manual,First Owner,19.6,1582,126.2,259.9  @ 1900-2750 ,5,Hyundai,Creta
2018,490000,25.0,Petrol,Individual,Manual,First Owner,23.8,1199,84.0,114  @ 3500 ,5,Tata,Tiago
2012,280000,60.0,Diesel,Individual,Manual,Second Owner,23.0,1498,88.7,204  @ 2000-2750 ,5,Ford,Fiesta
2018,390000,25.0,Petrol,Individual,Manual,First Owner,23.8,1199,84.0,114  @ 3500 ,5,Tata,Tiago
2008,45000,70.0,Petrol,Individual,Manual,First Owner,18.0,995,62.0,90.3  @ 4200 ,5,Chevrolet,Spark
2016,640000,80.0,Diesel,Individual,Manual,Second Owner,24.5,1248,88.5,200  @ 1750 ,7,Maruti,Ertiga
2015,650000,110.0,Diesel,Individual,Manual,Second Owner,15.0,2523,75.0,200  @ 1400-2200 ,9,Mahindra,Scorpio
2013,500000,115.717,Diesel,Individual,Manual,First Owner,12.0,2179,120.0,290  @ 1800-2800 ,9,Mahindra,Scorpio
2008,90000,110.0,Diesel,Individual,Manual,Second Owner,17.0,1399,68.0,"16 @ 2,000 @  )",5,Ford,Fusion
2014,480000,70.0,Diesel,Individual,Manual,Second Owner,15.0,2179,147.9,320  @ 1500-3000 ,7,Tata,Aria
2019,630000,4.0,Petrol,Individual,Manual,First Owner,21.2,1197,81.8,113  @ 4200 ,5,Maruti,Swift
2011,250000,50.0,Petrol,Individual,Manual,First Owner,20.3,1197,78.9,111.8  @ 4000 ,5,Hyundai,i10
